UTDRAG ur Kemikalieinspektionens PRIO-databas
Datum: 2018-12-10

Ämnesgrupper: alkylfenoler och deras derivat

Ämnesnamn	CAS-nr	EG-nr	Prioriteringsnivå	Kriterier
Tributyltennnonylfenylat	'24291-39-2	'	Prioriterat riskminskningsämne	Hög kronisk giftighet; Miljöfarligt, långtidseffekter
Bly-bis(nonylfenolat)	'72586-00-6	'276-725-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande; Särskilt farliga metaller (Hg, Cd, Pb), Pb; Miljöfarligt, långtidseffekter
Nonylfenol	'25154-52-3	'246-672-0	Utfasningsämne	Hormonstörande; Miljöfarligt, långtidseffekter
4-Nonylfenol, grenad	'84852-15-3	'284-325-5	Utfasningsämne	Hormonstörande; Miljöfarligt, långtidseffekter
2,4-dimetyl-6-(1-metylpentadecyl)fenol	'	'411-220-5	Prioriterat riskminskningsämne	Allergiframkallande; Miljöfarligt, långtidseffekter
Dodecyl fenol, blandade isomerer (grenade)	'74499-35-7	'310-154-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande; Miljöfarligt, långtidseffekter; Potentiella PBT/vPvB
4-tert-oktylfenol	'140-66-9	'205-426-2	Utfasningsämne	Hormonstörande; Miljöfarligt, långtidseffekter
2-[4-(1,1,3,3-tetrametylbutyl)fenoxi]etanol	'2315-67-5	'	Utfasningsämne	Hormonstörande
Etanol, 2-[2-[4-(1,1,3,3-tetrametylbutyl)fenoxi]etoxi]-	'2315-61-9	'	Utfasningsämne	Hormonstörande
Polyetylenglykol p-(1,1,3,3-tetrametylbutyl)fenyleter	'9002-93-1	'	Utfasningsämne	Hormonstörande
20-[4-(1,1,3,3-tetrametylbutyl)fenoxi]-3,6,9,12,15,18-hexaoxaicosan-1-ol	'2497-59-8	'219-682-8	Utfasningsämne	Hormonstörande
4-(1,1,3,3-Tetrametylbutyl)fenol, etoxilerad	'9036-19-5	'	Utfasningsämne	Hormonstörande
p-isononylfenol	'26543-97-5	'247-770-6	Utfasningsämne	Hormonstörande; Miljöfarligt, långtidseffekter
p-Nonylfenol	'104-40-5	'203-199-4	Utfasningsämne	Hormonstörande; Miljöfarligt, långtidseffekter
p-(1-metyloktyl)fenol	'17404-66-9	'241-427-4	Utfasningsämne	Hormonstörande; Miljöfarligt, långtidseffekter
p-(1,1-dimetylheptyl)fenol	'30784-30-6	'250-339-5	Utfasningsämne	Hormonstörande; Miljöfarligt, långtidseffekter
4-(1-etyl-1-metylhexyl)fenol	'52427-13-1	'257-907-1	Utfasningsämne	Hormonstörande; Miljöfarligt, långtidseffekter
4-(1-Etyl-1,3-dimetylpentyl)fenol	'186825-36-5	'	Utfasningsämne	Hormonstörande; Miljöfarligt, långtidseffekter
4-(1-Etyl-1,4-dimetylpentyl)fenol	'142731-63-3	'	Utfasningsämne	Hormonstörande; Miljöfarligt, långtidseffekter
4-nonylfenoletoxilat	'26027-38-3	'	Utfasningsämne	Hormonstörande
2-(2-(2-(2-(4-nonylfenoxi)etoxi)etoxi)etoxi)etanol	'7311-27-5	'230-770-5	Utfasningsämne	Hormonstörande
2-[2-(4-nonylfenoxi)etoxi]etanol	'20427-84-3	'243-816-4	Utfasningsämne	Hormonstörande
17-(4-nonylfenoxi)-3,6,9,12,15-pentaoxaheptadekan-1-ol	'34166-38-6	'	Utfasningsämne	Hormonstörande
20-(4-nonylfenoxi)-3,6,9,12,15,18-hexaoxaicosan-1-ol	'27942-27-4	'248-743-1	Utfasningsämne	Hormonstörande
26-(4-Nonylfenoxi)-3,6,9,12,15,18,21,24-oktaoxahexacosan -1-ol	'14409-72-4	'	Utfasningsämne	Hormonstörande
Nonylfenoletoxilat	'9016-45-9	'500-024-6	Utfasningsämne	Hormonstörande
Klorofen	'120-32-1	'204-385-8	Prioriterat riskminskningsämne	Allergiframkallande; Miljöfarligt, långtidseffekter
