"Dibutyltennväteborat	'75113-37-0	'401-040-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter		
"Nickel(II)cyanid	'557-19-7	'209-160-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter			
"Koppar(2+), (tetraetylenpentamin)-, bis[dicyanoaurat(1-)]	'18972-70-8	'	Prioriterat riskminskningsämne	Mycket hög akut giftighet"	 Miljöfarligt, långtidseffekter					
"Zink-bis(N,N-dimetylditiokarbamat)	'137-30-4	'205-288-3	Prioriterat riskminskningsämne	Mycket hög akut giftighet"	 Allergiframkallande	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter			
"2-[3-(prop-1-en-2-yl)fenyl]prop-3-ylisocyanat	'2094-99-7	'	Prioriterat riskminskningsämne	Mycket hög akut giftighet"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Zinkbis(dietylditiokarbamat)	'14324-55-1	'238-270-9	Prioriterat riskminskningsämne	Allergiframkallande"	 Miljöfarligt, långtidseffekter					
"Trizinkdifosfid	'1314-84-7	'215-244-5	Prioriterat riskminskningsämne	Mycket hög akut giftighet"	 Miljöfarligt, långtidseffekter					
"Difenyldiarsen	'4519-32-8	'224-845-1	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Antimonarsenat	'28980-47-4	'249-347-1	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"4-cyklohexyl-2,6-dimetylpyryliumhexafluorarsenat(1-)	'84304-16-5	'282-701-3	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Litiumarsenit	'72845-34-2	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Arseniktriiodid	'7784-45-4	'232-068-4	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Natriumarsenit	'7784-46-5	'232-070-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
