UTDRAG ur Kemikalieinspektionens PRIO-databas
Datum: 2018-12-10

Ämnesgrupper: dioxiner och dibensofuraner

Ämnesnamn	CAS-nr	EG-nr	Prioriteringsnivå	Kriterier
2,3,7,8-Tetraklordibenzo-p-dioxin	'1746-01-6	'	Utfasningsämne	PBT/vPvB
Oktaklordibenzodioxin	'3268-87-9	'	Utfasningsämne	PBT/vPvB
1,2,3,7,8,9-hexakloro-p-dioxin	'19408-74-3	'	Utfasningsämne	PBT/vPvB
Hexaklordibenzo-p-dioxin	'34465-46-8	'	Utfasningsämne	PBT/vPvB
1.2.3.4.6.7.8-Heptaklordibenzo-p-dioxin	'35822-46-9	'	Utfasningsämne	PBT/vPvB
Pentaklordibenzo-p-dioxin	'36088-22-9	'	Utfasningsämne	PBT/vPvB
Heptaklordibenzo-p-dioxin	'37871-00-4	'	Utfasningsämne	PBT/vPvB
1,2,3,4,7,8-Hexaklordibenzo-p-dioxin	'39227-28-6	'	Utfasningsämne	PBT/vPvB
1,2,3,7,8-PeCDD (-pentaklorodibenzo-p-dioxin)	'40321-76-4	'	Utfasningsämne	PBT/vPvB
Tetraklordibenzo-p-dioxin	'41903-57-5	'	Utfasningsämne	PBT/vPvB
Dibenzo(B,E)(1,4)dioxin, 1,2,3,6,7,8-hexakloro-	'57653-85-7	'	Utfasningsämne	PBT/vPvB
1,2,3,4,6,7,9-heptaklordibenzo-p-dioxin	'58200-70-7	'	Utfasningsämne	PBT/vPvB
1,2,4,7,8-Pentaklorodibenso-p-dioxin	'58802-08-7	'	Utfasningsämne	PBT/vPvB
Pentaklorodibenzofuran	'30402-15-4	'	Utfasningsämne	PBT/vPvB
1,2,3,4,6,7,8,9,10,10,11,11-dodekaklor-1,4,4a,5a,6,9,9a,9b-oktahydro-1,4:6,9-dimetandibenzofuran	'31107-44-5	'	Utfasningsämne	PBT/vPvB
Heptaklorodibenzofuran	'38998-75-3	'	Utfasningsämne	PBT/vPvB
Oktaklordibensofuran	'39001-02-0	'	Utfasningsämne	PBT/vPvB
dibenzofuran, 2-chloro	'43047-99-0	'	Utfasningsämne	PBT/vPvB
Tetraklorodibenzofuran	'51207-31-9	'	Utfasningsämne	PBT/vPvB
1,2,3,4,7,8,9-Heptaklordibenzofuran	'55673-89-7	'	Utfasningsämne	PBT/vPvB
Hexaklordibenzofuran	'55684-94-1	'	Utfasningsämne	PBT/vPvB
2,3,4,7,8-PeCDF (-pentaklorodibenzofuran)	'57117-31-4	'	Utfasningsämne	PBT/vPvB
Dibenzofuran, 2,3,4,6,7,8-hexakloro-	'60851-34-5	'	Utfasningsämne	PBT/vPvB
Dibenzofuran, 1,2,3,4,6,7,8-heptakloro-	'67562-39-4	'	Utfasningsämne	PBT/vPvB
1,2,3,4,6,8,9-heptaklordibenzofuran	'69698-58-4	'	Utfasningsämne	PBT/vPvB
total polychlorinated dibenzofuran isomers	'136677-10-6	'	Utfasningsämne	PBT/vPvB
